municipio,consorcio,anos,tendencia,nivel,pos_intervencao,PIB
Camutanga,COMANAS,2013,12,1,7,178322.0
Camutanga,COMANAS,2014,13,1,8,167050.0
Camutanga,COMANAS,2015,14,1,9,226246.0
Camutanga,COMANAS,2016,15,1,10,193417.0
Camutanga,COMANAS,2017,16,1,11,190522.0
Carnaíba,,2002,1,0,0,38583.0
Carnaíba,,2003,2,0,0,39056.0
Carnaíba,,2004,3,0,0,35512.0
Carnaíba,,2005,4,1,1,42089.0
Carnaíba,,2006,5,1,2,48423.0
Carnaíba,,2007,6,1,3,54248.0
Carnaíba,,2008,7,1,4,59065.0
Carnaíba,,2009,8,1,5,66911.0
Carnaíba,,2010,9,1,6,75909.0
Carnaíba,,2011,10,1,7,85404.0
Carnaíba,,2012,11,1,8,97516.0
Carnaíba,,2013,12,1,9,115515.0
Carnaíba,,2014,13,1,10,135672.0
Carnaíba,,2015,14,1,11,136364.0
Carnaíba,,2016,15,1,12,140994.0
Carnaíba,,2017,16,1,13,144919.0
Carnaubeira da Penha,COMSIM,2002,1,0,0,15712.0
Carnaubeira da Penha,COMSIM,2003,2,0,0,17465.0
Carnaubeira da Penha,COMSIM,2004,3,0,0,21946.0
Carnaubeira da Penha,COMSIM,2005,4,0,0,25091.0
Carnaubeira da Penha,COMSIM,2006,5,0,0,29931.0
Carnaubeira da Penha,COMSIM,2007,6,0,0,31977.0
Carnaubeira da Penha,COMSIM,2008,7,0,0,38741.0
Carnaubeira da Penha,COMSIM,2009,8,0,0,44828.0
Carnaubeira da Penha,COMSIM,2010,9,0,0,47155.0
Carnaubeira da Penha,COMSIM,2011,10,0,0,53251.0
Carnaubeira da Penha,COMSIM,2012,11,0,0,54442.0
Carnaubeira da Penha,COMSIM,2013,12,1,1,59614.0
Carnaubeira da Penha,COMSIM,2014,13,1,2,66518.0
Carnaubeira da Penha,COMSIM,2015,14,1,3,65701.0
Carnaubeira da Penha,COMSIM,2016,15,1,4,73997.0
Carnaubeira da Penha,COMSIM,2017,16,1,5,77113.0
Carpina,COMANAS,2002,1,0,0,213788.0
Carpina,COMANAS,2003,2,0,0,253125.0
Carpina,COMANAS,2004,3,0,0,289908.0
Carpina,COMANAS,2005,4,0,0,326469.0
Carpina,COMANAS,2006,5,0,0,362541.0
Carpina,COMANAS,2007,6,1,1,403772.0
Carpina,COMANAS,2008,7,1,2,440461.0
Carpina,COMANAS,2009,8,1,3,477927.0
Carpina,COMANAS,2010,9,1,4,711552.0
Carpina,COMANAS,2011,10,1,5,772909.0
Carpina,COMANAS,2012,11,1,6,949327.0
Carpina,COMANAS,2013,12,1,7,1019101.0
Carpina,COMANAS,2014,13,1,8,1198805.0
Carpina,COMANAS,2015,14,1,9,1184604.0
Carpina,COMANAS,2016,15,1,10,1276878.0
